dataset_doi,interactions,ml_het,hierarchical,variant,any_het,year,deposit_year
doi:10.7910/DVN/4FCVUR,FALSE,FALSE,FALSE,as_published,FALSE,2015,2015
doi:10.7910/DVN/4G2DBT,FALSE,FALSE,TRUE,as_published,TRUE,2017,2017
doi:10.7910/DVN/4KFU8S,FALSE,FALSE,TRUE,as_published,TRUE,2019,2019
doi:10.7910/DVN/4LWC1R,FALSE,FALSE,FALSE,as_published,FALSE,2020,2020
doi:10.7910/DVN/4LZXTY,TRUE,FALSE,TRUE,as_published,TRUE,2015,2015
doi:10.7910/DVN/4M0HEN,TRUE,FALSE,TRUE,as_published,TRUE,2020,2020
doi:10.7910/DVN/4MOTFS,FALSE,FALSE,TRUE,as_published,TRUE,2024,2024
doi:10.7910/DVN/4MZQYH,FALSE,FALSE,FALSE,as_published,FALSE,2022,2022
doi:10.7910/DVN/4NEPI7,TRUE,FALSE,TRUE,as_published,TRUE,2020,2020
doi:10.7910/DVN/4P2JA3,FALSE,FALSE,FALSE,as_published,FALSE,2021,2021
doi:10.7910/DVN/4QQHW7,TRUE,FALSE,TRUE,as_published,TRUE,2024,2024
doi:10.7910/DVN/4QRUPR,TRUE,FALSE,TRUE,as_published,TRUE,2017,2017
doi:10.7910/DVN/4RQWXW,FALSE,FALSE,TRUE,as_published,TRUE,2020,2021
doi:10.7910/DVN/4T7Q6U,TRUE,FALSE,FALSE,as_published,TRUE,2024,2024
doi:10.7910/DVN/4UOQUR,TRUE,FALSE,TRUE,as_published,TRUE,2023,2023
doi:10.7910/DVN/4VCBQB,TRUE,FALSE,TRUE,as_published,TRUE,2020,2020
doi:10.7910/DVN/4VHZWW,TRUE,FALSE,TRUE,as_published,TRUE,2021,2021
doi:10.7910/DVN/4WNEE9,TRUE,FALSE,TRUE,as_published,TRUE,2020,2020
doi:10.7910/DVN/4XI0UG,FALSE,FALSE,FALSE,as_published,FALSE,2017,2017
doi:10.7910/DVN/4ZTDMU,FALSE,FALSE,TRUE,as_published,TRUE,2023,2023
doi:10.7910/DVN/56EZPS,FALSE,FALSE,FALSE,as_published,FALSE,2017,2017
doi:10.7910/DVN/57QESD,TRUE,FALSE,FALSE,as_published,TRUE,2020,2020
doi:10.7910/DVN/5AN3RU,TRUE,FALSE,FALSE,as_published,TRUE,2017,2017
doi:10.7910/DVN/5CNOTD,TRUE,FALSE,FALSE,as_published,TRUE,2023,2023
doi:10.7910/DVN/5CVUVU,FALSE,FALSE,FALSE,as_published,FALSE,2013,2015
doi:10.7910/DVN/5CYWWF,TRUE,FALSE,TRUE,as_published,TRUE,2019,2019
doi:10.7910/DVN/5DHMYI,FALSE,FALSE,FALSE,as_published,FALSE,2023,2024
doi:10.7910/DVN/5E3D0F,TRUE,FALSE,FALSE,as_published,TRUE,2023,2023
doi:10.7910/DVN/5GP5SI,TRUE,FALSE,FALSE,as_published,TRUE,2023,2023
doi:10.7910/DVN/5H1HFF,TRUE,FALSE,TRUE,as_published,TRUE,2018,2018
doi:10.7910/DVN/5HEB4I,TRUE,FALSE,TRUE,as_published,TRUE,2015,2015
doi:10.7910/DVN/5HXT8K,FALSE,FALSE,FALSE,as_published,FALSE,2021,2021
doi:10.7910/DVN/5JLGEL,TRUE,FALSE,TRUE,as_published,TRUE,2018,2018
doi:10.7910/DVN/5K89TG,TRUE,FALSE,TRUE,as_published,TRUE,2023,2023
doi:10.7910/DVN/5KC1FM,FALSE,FALSE,TRUE,as_published,TRUE,2024,2024
doi:10.7910/DVN/5M10KG,FALSE,FALSE,TRUE,as_published,TRUE,2022,2022
doi:10.7910/DVN/5MAQC2,TRUE,FALSE,FALSE,as_published,TRUE,2020,2020
doi:10.7910/DVN/5O3EOW,TRUE,FALSE,TRUE,as_published,TRUE,2022,2024
doi:10.7910/DVN/5OUHOW,TRUE,FALSE,TRUE,as_published,TRUE,2024,2024
doi:10.7910/DVN/5PEQSS,TRUE,FALSE,TRUE,as_published,TRUE,2022,2022
doi:10.7910/DVN/5QBS9A,TRUE,FALSE,TRUE,as_published,TRUE,2020,2020
doi:10.7910/DVN/5S1HRF,FALSE,FALSE,TRUE,as_published,TRUE,2020,2020
doi:10.7910/DVN/5TWA0G,FALSE,FALSE,FALSE,as_published,FALSE,2015,2015
doi:10.7910/DVN/5UEEU2,TRUE,FALSE,FALSE,as_published,TRUE,2020,2020
doi:10.7910/DVN/5UMCKK,TRUE,FALSE,TRUE,as_published,TRUE,2017,2017
doi:10.7910/DVN/5XG84N,TRUE,FALSE,TRUE,as_published,TRUE,2022,2022
doi:10.7910/DVN/61JJI3,FALSE,FALSE,TRUE,as_published,TRUE,2017,2017
doi:10.7910/DVN/61JSZQ,TRUE,FALSE,FALSE,as_published,TRUE,2017,2017
doi:10.7910/DVN/64HPWB,TRUE,FALSE,TRUE,as_published,TRUE,2022,2022
doi:10.7910/DVN/66XBA5,TRUE,FALSE,TRUE,as_published,TRUE,2020,2020
doi:10.7910/DVN/6A2J2T,FALSE,FALSE,FALSE,as_published,FALSE,2018,2018
doi:10.7910/DVN/6AAGM9,FALSE,FALSE,TRUE,as_published,TRUE,2020,2020
doi:10.7910/DVN/6EBCGA,FALSE,FALSE,FALSE,as_published,FALSE,2013,2015
doi:10.7910/DVN/6FHV5B,FALSE,FALSE,FALSE,as_published,FALSE,2024,2024
doi:10.7910/DVN/6IO5ET,FALSE,FALSE,FALSE,as_published,FALSE,2015,2015
doi:10.7910/DVN/6IOACK,FALSE,FALSE,FALSE,as_published,FALSE,2018,2018
doi:10.7910/DVN/6IRAEM,FALSE,FALSE,FALSE,as_published,FALSE,2021,2021
doi:10.7910/DVN/6KPFOK,TRUE,FALSE,TRUE,as_published,TRUE,2019,2019
doi:10.7910/DVN/6N2PN4,FALSE,FALSE,FALSE,as_published,FALSE,2016,2016
doi:10.7910/DVN/6NDYHC,FALSE,FALSE,TRUE,as_published,TRUE,2018,2018
doi:10.7910/DVN/6OKNOY,TRUE,FALSE,TRUE,as_published,TRUE,2023,2023
doi:10.7910/DVN/6RL6ID,TRUE,FALSE,TRUE,as_published,TRUE,2024,2024
